edge_id,from_node_id,to_node_id,relationship,observation_id,cell_id,evidence_basis
edge:28df812cc0a413b3f46b,observation:885040ab6fb9ac0096b2,indicator_cell:feb2ac97cbf469e6c701,observation_materializes_cell,9fe0a3bb2baed4ce3810,7c1c5248808f73b2f3a6,H6 stable cell_id
edge:459c0a53a60ccb3e7d80,observation:389c8092fc51c52bc4eb,indicator_cell:7893e69f53cf7b6d0284,observation_materializes_cell,6ad6dfc4b05d0f292d1f,425bfdd5ca02ab3e3cc1,H6 stable cell_id
edge:63982fdf5f2a6c95f329,observation:ea029425bb6e7db0f2d4,indicator_cell:5fd7f1c394470ba4a878,observation_materializes_cell,27f750d142897641b3b1,e33e2f8351747300cba7,H6 stable cell_id
edge:66e96e602d8a04d45ad0,observation:faa7a4c88494a64e5e39,indicator_cell:e30254e6593a5ad1768e,observation_materializes_cell,bc696217068415ca73e2,4aab4307f4906503d2a4,H6 stable cell_id
edge:6850c65ba54d2d6298ae,observation:e4c9a85a54e3ad78e66c,indicator_cell:aab555ad4759ae18ba76,observation_materializes_cell,ad8a7f5c7869af674e3a,05ae4dff5d60b5021813,H6 stable cell_id
edge:7036a10c664d349db7f1,observation:31d333568319d88d97b2,indicator_cell:e30254e6593a5ad1768e,observation_materializes_cell,a16c09b869c2ad72a4ea,4aab4307f4906503d2a4,H6 stable cell_id
edge:718341a02f1381ec6079,observation:5577ee9eb9f8775867ee,indicator_cell:de3c26510b8871e0d687,observation_materializes_cell,d99bc3566095bc6ee582,7e097ceb497e25947325,H6 stable cell_id
edge:81c8fc1b2773bcd9d000,observation:294d2d83bf86fa753446,indicator_cell:08e4d6d55af0774caa62,observation_materializes_cell,6fbf4aae1b9a6de0051a,94651a48df17d3b56a1b,H6 stable cell_id
edge:89cbaef1797c7e6e77dc,observation:6e3265bf4a2eadf39698,indicator_cell:44587469161d5e598f2a,observation_materializes_cell,4af2e0e7825c9f2ac443,71a013b45f47a8aefa7d,H6 stable cell_id
edge:8cac4725792c5768e4b0,observation:da340ced2539c49628bf,indicator_cell:ae652356f54e9da22915,observation_materializes_cell,a34fc65bf470c1e7ce20,af12d1ae8c1555d899be,H6 stable cell_id
edge:8ff700679e93749b490d,observation:e19175cc2d07bb652fd5,indicator_cell:7893e69f53cf7b6d0284,observation_materializes_cell,69745dd19d776c69570e,425bfdd5ca02ab3e3cc1,H6 stable cell_id
edge:94a2dbb9883a00825d75,observation:c8636f1fbb21ce328ae5,indicator_cell:08e4d6d55af0774caa62,observation_materializes_cell,b55b4fefc9148be667c1,94651a48df17d3b56a1b,H6 stable cell_id
edge:984d94cd51c202b80a3b,observation:0970843830c2ae7c8503,indicator_cell:f70883b0424bebcca783,observation_materializes_cell,f2b9db071dd4766d6307,e4982bb0d13ac08094aa,H6 stable cell_id
edge:a045abf8994b538a183f,observation:a7e8ddddcfeb654133b3,indicator_cell:9f4335805533dc1644dc,observation_materializes_cell,72e8553f361951a0c2c8,3087bf08970908c509ca,H6 stable cell_id
edge:a376b037fd815bd08f48,observation:5f781c26691e4c1d4e63,indicator_cell:55e36c8d23c81a7e5e6f,observation_materializes_cell,05a8528c88245297d4ba,5b5eeef107bb6f124496,H6 stable cell_id
edge:aa7235033e296af44a2b,observation:de0321deca75854654ba,indicator_cell:5fd7f1c394470ba4a878,observation_materializes_cell,506a60e86fb32d9c608b,e33e2f8351747300cba7,H6 stable cell_id
edge:bba347dc426d90b28d3f,observation:8723d68bb99c76a272c0,indicator_cell:c4a866eca4b16dd78a5b,observation_materializes_cell,211b04665de26cd11d77,53b2a1ef09a68d6c5173,H6 stable cell_id
