event_id,domain,event_kind,indicator_key,series_key,observed_period,geo_level,geo_code,unit,source_values_json,absolute_difference,input_label,rule_id,classification,cause_family,evidence_level,counts_toward_g1,classification_note,original_classification,original_cause_family,original_evidence_level,promoted,evidence_kind,evidence_locator,evidence_note
d82da49c6a4bbbca7446,education,national_province_granularity,sdg04_completion_rate,smp,2023,national_vs_province,9999,percent,"{""national"": ""90.44"", ""province_count"": ""34"", ""province_unweighted_mean"": ""89.5521""}",0.8879,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
da00733fa4483aa256a7,economy,source_value_difference,sdg08_productivity_growth,total,2022,province,7300,percent,"{""bps_tpb_2024"": ""0.43"", ""bps_webapi"": ""0.44""}",0.01,last_digit_difference,R01,rounding_or_presentation,rounding_or_presentation,observed,no,Difference is no larger than one unit in the last published decimal place,rounding_or_presentation,rounding_or_presentation,observed,no,,,
db0e7b3bad426d6be5c5,economy,national_province_granularity,sdg08_informal_employment,total,2020,national_vs_province,9999,percent,"{""national"": ""60.47"", ""province_count"": ""34"", ""province_unweighted_mean"": ""61.0088""}",0.5388,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
dc334ac9d8e81934c4c4,economy,national_province_granularity,sdg08_informal_employment,total,2023,national_vs_province,9999,percent,"{""national"": ""59.11"", ""province_count"": ""34"", ""province_unweighted_mean"": ""59.3521""}",0.2421,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
dd6301468d8d0bcf2d5b,energy,release_value_difference,sdg07_renewable_share,total,2018,national,9999,percent,"{""bps_tpb_2024"": ""9.00"", ""bps_webapi"": ""8.6""}",0.40,release_revision_candidate,R05,vintage_candidate,vintage,candidate,yes,WebAPI and a dated publication differ without two historical WebAPI snapshots,vintage_candidate,vintage,candidate,no,,,
dde7e243dc454aa326e9,economy,source_value_difference,sdg08_productivity_growth,total,2022,province,1600,percent,"{""bps_tpb_2024"": ""2.53"", ""bps_webapi"": ""2.54""}",0.01,last_digit_difference,R01,rounding_or_presentation,rounding_or_presentation,observed,no,Difference is no larger than one unit in the last published decimal place,rounding_or_presentation,rounding_or_presentation,observed,no,,,
de5b6acab4121b1823eb,economy,national_province_granularity,sdg08_productivity_growth,total,2021,national_vs_province,9999,percent,"{""national"": ""1.65"", ""province_count"": ""34"", ""province_unweighted_mean"": ""1.8815""}",0.2315,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
de5f506d6e5878c709e7,economy,national_province_granularity,sdg08_informal_employment,total,2021,national_vs_province,9999,percent,"{""national"": ""59.45"", ""province_count"": ""34"", ""province_unweighted_mean"": ""60.2076""}",0.7576,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
e39132db20762bdd9921,economy,source_value_difference,sdg08_productivity_growth,total,2022,province,3600,percent,"{""bps_tpb_2024"": ""0.75"", ""bps_webapi"": ""0.74""}",0.01,last_digit_difference,R01,rounding_or_presentation,rounding_or_presentation,observed,no,Difference is no larger than one unit in the last published decimal place,rounding_or_presentation,rounding_or_presentation,observed,no,,,
e3a1a100c1d6283ed3a4,education,national_province_granularity,sdg04_completion_rate,sma,2022,national_vs_province,9999,percent,"{""national"": ""66.13"", ""province_count"": ""34"", ""province_unweighted_mean"": ""64.6832""}",1.4468,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
e49984a89fb475f34c84,education,national_province_granularity,sdg04_completion_rate,sd,2020,national_vs_province,9999,percent,"{""national"": ""96"", ""province_count"": ""34"", ""province_unweighted_mean"": ""94.8376""}",1.1624,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
e578589739a7416b6ece,education,national_province_granularity,sdg04_completion_rate,sma,2023,national_vs_province,9999,percent,"{""national"": ""66.79"", ""province_count"": ""34"", ""province_unweighted_mean"": ""65.8124""}",0.9776,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
ed6240cd83d1b9bab7e9,economy,national_province_granularity,sdg08_productivity_growth,total,2022,national_vs_province,9999,percent,"{""national"": ""2"", ""province_count"": ""34"", ""province_unweighted_mean"": ""2.7609""}",0.7609,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
f808d693e106232e23eb,economy,source_value_difference,sdg08_productivity_growth,total,2023,province,3100,percent,"{""bps_tpb_2024"": ""0.87"", ""bps_webapi"": ""0.88""}",0.01,last_digit_difference,R01,rounding_or_presentation,rounding_or_presentation,observed,no,Difference is no larger than one unit in the last published decimal place,rounding_or_presentation,rounding_or_presentation,observed,no,,,
fa05ba7f114f18911e4b,economy,national_province_granularity,sdg08_informal_employment,total,2020,national_vs_province,9999,percent,"{""national"": ""60.47"", ""province_count"": ""34"", ""province_unweighted_mean"": ""61.0088""}",0.5388,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
