indicator_key,domain,indicator_name,rank,match_score,webapi_domain_id,webapi_variable_id,webapi_title,subject_id,subject_name
sdg06_water_source,environment,Rumah tangga menurut jenis sumber air minum bersih,4,0.5556,0000,1554,"Persentase Rumah Tangga Yang Memiliki Akses Terhadap Layanan Sumber Air Minum Layak Dan Berkelanjutan (40% Bawah), Menurut Provinsi",181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg06_water_source,environment,Rumah tangga menurut jenis sumber air minum bersih,5,0.5432,0000,1556,"Persentase Rumah Tangga Yang Memiliki Akses Terhadap Layanan Sumber Air Minum Layak Dan Berkelanjutan (40% Bawah), Menurut Daerah Tempat Tinggal",181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_electricity_access,energy,Rasio elektrifikasi atau rumah tangga dengan akses listrik,1,0.5332,0000,1794,Proporsi Sekolah dengan Akses Listrik ,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_electricity_access,energy,Rasio elektrifikasi atau rumah tangga dengan akses listrik,2,0.4981,0000,1155,Rasio Elektrifikasi,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_electricity_access,energy,Rasio elektrifikasi atau rumah tangga dengan akses listrik,3,0.3326,0000,2832,Persentase Rumah Tangga yang menggunakan Listrik (PLN/Non PLN),None,
sdg07_electricity_access,energy,Rasio elektrifikasi atau rumah tangga dengan akses listrik,4,0.3272,0000,2016,Proporsi rumah tangga dengan akses terhadap pelayanan dasar menurut provinsi,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_electricity_access,energy,Rasio elektrifikasi atau rumah tangga dengan akses listrik,5,0.3250,0000,1796,Proporsi Sekolah dengan Akses Komputer,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_clean_cooking,energy,Rumah tangga dengan bahan bakar atau teknologi memasak bersih,1,0.6083,0000,150,Persentase Rumah Tangga Menurut Provinsi dan Bahan Bakar Utama untuk Memasak,152,Lingkungan Hidup
sdg07_clean_cooking,energy,Rumah tangga dengan bahan bakar atau teknologi memasak bersih,2,0.5478,0000,940,Banyaknya Desa/Kelurahan Menurut Jenis Bahan Bakar untuk Memasak yang Digunakan oleh Sebagian Besar Keluarga,168,Potensi Desa
sdg07_clean_cooking,energy,Rumah tangga dengan bahan bakar atau teknologi memasak bersih,3,0.4027,0000,92,Produksi Bahan Bakar Minyak,10,Pertambangan
sdg07_clean_cooking,energy,Rumah tangga dengan bahan bakar atau teknologi memasak bersih,4,0.3927,0000,1895,"Inflasi (2018=100) Menurut Kelompok dan Sub Kelompok 03 Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga",3,Inflasi
sdg07_clean_cooking,energy,Rumah tangga dengan bahan bakar atau teknologi memasak bersih,5,0.3879,0000,1930,"Inflasi (2012=100) Menurut Kelompok 03 Perumahan, Air, Listrik, Gas dan Bahan Bakar",3,Inflasi
sdg07_renewable_share,energy,Bauran energi terbarukan terhadap konsumsi energi final,1,0.5323,0000,1824,Bauran Energi Terbarukan,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_renewable_share,energy,Bauran energi terbarukan terhadap konsumsi energi final,2,0.3824,0000,1861,Persentase Rata-Rata Konsumsi Telekomunikasi Rumah Tangga Terhadap Konsumsi Total Menurut Provinsi,2,Komunikasi
sdg07_renewable_share,energy,Bauran energi terbarukan terhadap konsumsi energi final,3,0.3767,0000,1860,Persentase Rata-Rata Konsumsi Telekomunikasi Rumah Tangga Terhadap Konsumsi Non Makanan Menurut Provinsi,2,Komunikasi
sdg07_renewable_share,energy,Bauran energi terbarukan terhadap konsumsi energi final,4,0.2630,0000,56,Indikator Konsumsi Terpilih,5,Konsumsi dan Pengeluaran
sdg07_renewable_share,energy,Bauran energi terbarukan terhadap konsumsi energi final,5,0.2567,0000,1529,Rasio Penerimaan Pajak Terhadap PDB,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_energy_intensity,energy,Intensitas energi primer per PDB,1,0.7821,0000,1808,Intensitas Energi Primer,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_energy_intensity,energy,Intensitas energi primer per PDB,2,0.5242,0000,1158,Proporsi Pasokan Energi Primer,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_energy_intensity,energy,Intensitas energi primer per PDB,3,0.3272,0000,1529,Rasio Penerimaan Pajak Terhadap PDB,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_energy_intensity,energy,Intensitas energi primer per PDB,4,0.3036,0000,1824,Bauran Energi Terbarukan,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg07_energy_intensity,energy,Intensitas energi primer per PDB,5,0.3030,0000,1188,Proporsi Kontribusi Pariwisata Terhadap PDB,16,Pariwisata
sdg08_gdp_per_capita_growth,economy,Laju pertumbuhan PDB atau PDRB per kapita,1,0.6057,0000,9,Laju Pertumbuhan PDB Menurut Lapangan Usaha,11,Produk Domestik Bruto (Lapangan Usaha)
